File Path,File Name,Parser Name,Status,Error Message
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_bugs.json,0_bugs.json,ujson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_bugs.json,0_bugs.json,simplejson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_bugs.json,0_bugs.json,orjson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_bugs.json,0_bugs.json,json5,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_bugs.json,0_bugs.json,rapidjson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_bugs.json,0_bugs.json,ijson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_bugs.json,0_bugs.json,pyjson5,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_bugs.json,0_bugs.json,json_parser,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_ci.json,0_ci.json,json,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_ci.json,0_ci.json,ujson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_ci.json,0_ci.json,simplejson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_ci.json,0_ci.json,orjson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_ci.json,0_ci.json,json5,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_ci.json,0_ci.json,rapidjson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_ci.json,0_ci.json,ijson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_ci.json,0_ci.json,pyjson5,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_ci.json,0_ci.json,json_parser,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_cyber-security.json,0_cyber-security.json,json,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_cyber-security.json,0_cyber-security.json,ujson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_cyber-security.json,0_cyber-security.json,simplejson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_cyber-security.json,0_cyber-security.json,orjson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_cyber-security.json,0_cyber-security.json,json5,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_cyber-security.json,0_cyber-security.json,rapidjson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_cyber-security.json,0_cyber-security.json,ijson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_cyber-security.json,0_cyber-security.json,pyjson5,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_cyber-security.json,0_cyber-security.json,json_parser,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_devcontainer.json,0_devcontainer.json,json,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_devcontainer.json,0_devcontainer.json,ujson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_devcontainer.json,0_devcontainer.json,simplejson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_devcontainer.json,0_devcontainer.json,orjson,Success,
C:/Users/Sammy/Documents/Thesis/AlaliSammyFuzzingJSON/JSONFiles\real_json_files\0_devcontainer.json,0_devcontainer.json,json5,Success,
